medal_type,medal_code,athlete_name,country_code,discipline_code,event
Gold Medal,1,KENNY Laura,GBR,CTR,Women's Madison
Silver Medal,2,DIDERIKSEN Amalie,DEN,CTR,Women's Madison
Silver Medal,2,LETH Julie,DEN,CTR,Women's Madison
Bronze Medal,3,NOVOLODSKAIA Mariia,ROC,CTR,Women's Madison
Bronze Medal,3,KHATUNTSEVA Gulnaz,ROC,CTR,Women's Madison
Gold Medal,1,BECKIE Janine,CAN,FBL,Women
Gold Medal,1,BUCHANAN Kadeisha,CAN,FBL,Women
Gold Medal,1,CARLE Gabrielle,CAN,FBL,Women
Gold Medal,1,CHAPMAN Allysha,CAN,FBL,Women
Gold Medal,1,FLEMING Jessie,CAN,FBL,Women
Gold Medal,1,GILLES Vanessa,CAN,FBL,Women
Gold Medal,1,GROSSO Julia,CAN,FBL,Women
Gold Medal,1,HUITEMA Jordyn,CAN,FBL,Women
Gold Medal,1,LABBE Stephanie,CAN,FBL,Women
Gold Medal,1,LAWRENCE Ashley,CAN,FBL,Women
Gold Medal,1,LEON Adriana,CAN,FBL,Women
Gold Medal,1,McLEOD Erin,CAN,FBL,Women
Gold Medal,1,PRINCE Nichelle,CAN,FBL,Women
Gold Medal,1,QUINN,CAN,FBL,Women
Gold Medal,1,RIVIERE Jayde,CAN,FBL,Women
Gold Medal,1,ROSE Deanne,CAN,FBL,Women
Gold Medal,1,SCHMIDT Sophie,CAN,FBL,Women
Gold Medal,1,SCOTT Desiree,CAN,FBL,Women
Gold Medal,1,SHERIDAN Kailen,CAN,FBL,Women
Gold Medal,1,SINCLAIR Christine,CAN,FBL,Women
Gold Medal,1,VIENS Evelyne,CAN,FBL,Women
Gold Medal,1,ZADORSKY Shelina,CAN,FBL,Women
Silver Medal,2,ILESTEDT Amanda,SWE,FBL,Women
Silver Medal,2,ANVEGARD Anna,SWE,FBL,Women
Silver Medal,2,SEGER Caroline,SWE,FBL,Women
Silver Medal,2,KULLBERG Emma,SWE,FBL,Women
Silver Medal,2,ANGELDAL Filippa,SWE,FBL,Women
Silver Medal,2,ROLFO Fridolina,SWE,FBL,Women
Silver Medal,2,BENNISON Hanna,SWE,FBL,Women
Silver Medal,2,GLAS Hanna,SWE,FBL,Women
Silver Medal,2,LINDAHL Hedvig,SWE,FBL,Women
Silver Medal,2,FALK Jennifer,SWE,FBL,Women
Silver Medal,2,ANDERSSON Jonna,SWE,FBL,Women
Silver Medal,2,RODDAR Julia,SWE,FBL,Women
Silver Medal,2,ASLLANI Kosovare,SWE,FBL,Women
Silver Medal,2,HURTIG Lina,SWE,FBL,Women
Silver Medal,2,JANOGY Madelen,SWE,FBL,Women
Silver Medal,2,ERIKSSON Magdalena,SWE,FBL,Women
Silver Medal,2,BJORN Nathalie,SWE,FBL,Women
Silver Medal,2,SCHOUGH Olivia,SWE,FBL,Women
Silver Medal,2,BLOMQVIST Rebecka,SWE,FBL,Women
Silver Medal,2,JAKOBSSON Sofia,SWE,FBL,Women
Silver Medal,2,BLACKSTENIUS Stina,SWE,FBL,Women
Silver Medal,2,MUSOVIC Zecira,SWE,FBL,Women
Bronze Medal,3,MORGAN Alex,USA,FBL,Women
Bronze Medal,3,DAHLKEMPER Abby,USA,FBL,Women
Bronze Medal,3,FRANCH Adrianna,USA,FBL,Women
Bronze Medal,3,NAEHER Alyssa,USA,FBL,Women
Bronze Medal,3,CAMPBELL Jane,USA,FBL,Women
Bronze Medal,3,LLOYD Carli,USA,FBL,Women
Bronze Medal,3,MACARIO Catarina,USA,FBL,Women
Bronze Medal,3,PRESS Christen,USA,FBL,Women
Bronze Medal,3,KRUEGER Casey,USA,FBL,Women
Bronze Medal,3,DUNN Crystal,USA,FBL,Women
Bronze Medal,3,SONNETT Emily,USA,FBL,Women
Bronze Medal,3,ERTZ Julie,USA,FBL,Women
Bronze Medal,3,MEWIS Kristie,USA,FBL,Women
Bronze Medal,3,O'HARA Kelley,USA,FBL,Women
Bronze Medal,3,HORAN Lindsey,USA,FBL,Women
Bronze Medal,3,WILLIAMS Lynn,USA,FBL,Women
Bronze Medal,3,RAPINOE Megan,USA,FBL,Women
Bronze Medal,3,LAVELLE Rose,USA,FBL,Women
Bronze Medal,3,SAUERBRUNN Becky,USA,FBL,Women
Bronze Medal,3,MEWIS Samantha,USA,FBL,Women
Bronze Medal,3,DAVIDSON Tierna,USA,FBL,Women
Bronze Medal,3,HEATH Tobin,USA,FBL,Women
Gold Medal,1,MATLA Frederique,NED,HOC,Women
Gold Medal,1,NUNNINK Laura Maria,NED,HOC,Women
Gold Medal,1,PHENINCKX Malou,NED,HOC,Women
Gold Medal,1,SANDERS Pien,NED,HOC,Women
Gold Medal,1,STAM Lauren Lara Jeanette,NED,HOC,Women
Gold Medal,1,van GEFFEN Margot,NED,HOC,Women
Gold Medal,1,van MAASAKKER Caia Jacqueline,NED,HOC,Women
Gold Medal,1,VERSCHOOR Maria,NED,HOC,Women
Gold Medal,1,WELTEN Lidewij Marsia Maria,NED,HOC,Women
Gold Medal,1,ALBERS Felice,NED,HOC,Women
Gold Medal,1,de GOEDE Eva Roma Maria,NED,HOC,Women
Gold Medal,1,de WAARD Xan Gerdien,NED,HOC,Women
Gold Medal,1,KEETELS Marloes Johanna Maria,NED,HOC,Women
Gold Medal,1,KONING Josine,NED,HOC,Women
Gold Medal,1,KOOLEN Sanne Anne Leonie,NED,HOC,Women
Gold Medal,1,LEURINK Laurien,NED,HOC,Women
Silver Medal,2,SUCCI Maria Belen,ARG,HOC,Women
Silver Medal,2,ALONSO Agostina,ARG,HOC,Women
Silver Medal,2,ALBERTARRIO Agustina,ARG,HOC,Women
Silver Medal,2,MERINO Delfina,ARG,HOC,Women
Silver Medal,2,GRANATTO Maria Jose,ARG,HOC,Women
Silver Medal,2,JANKUNAS Julieta,ARG,HOC,Women
Silver Medal,2,RETEGUI Micaela,ARG,HOC,Women
Silver Medal,2,TOCCALINO Sofia,ARG,HOC,Women
Silver Medal,2,SAUZE VALDEZ Victoria,ARG,HOC,Women
Silver Medal,2,COSTA BIONDI Valentina Isabel,ARG,HOC,Women
Silver Medal,2,GRANATTO Maria Victoria,ARG,HOC,Women
Silver Medal,2,TRINCHINETTI Eugenia Maria,ARG,HOC,Women
Silver Medal,2,GORZELANY Agustina,ARG,HOC,Women
Silver Medal,2,FORCHERIO Maria Emilia,ARG,HOC,Women
Silver Medal,2,BARRIONUEVO Maria Noel,ARG,HOC,Women
Silver Medal,2,SANCHEZ MOCCIA Rocio,ARG,HOC,Women
Silver Medal,2,MACCARI Sofia,ARG,HOC,Women
Silver Medal,2,RAPOSO RUIZ de los LLANOS Valentina,ARG,HOC,Women
Bronze Medal,3,ANSLEY Giselle,GBR,HOC,Women
Bronze Medal,3,BALSDON Grace,GBR,HOC,Women
Bronze Medal,3,CRACKLES Fiona Anne,GBR,HOC,Women
Bronze Medal,3,HINCH Madeleine Claire,GBR,HOC,Women
Bronze Medal,3,JONES Sarah Louise,GBR,HOC,Women
Bronze Medal,3,MARTIN Hannah,GBR,HOC,Women
Bronze Medal,3,McCALLIN Shona,GBR,HOC,Women
Bronze Medal,3,OWSLEY Lily,GBR,HOC,Women
Bronze Medal,3,PEARNE-WEBB Hollie,GBR,HOC,Women
Bronze Medal,3,PETTER Isabelle,GBR,HOC,Women
Bronze Medal,3,RAYER Elena Sian,GBR,HOC,Women
Bronze Medal,3,ROBERTSON Sarah,GBR,HOC,Women
Bronze Medal,3,TOMAN Anna-Frances,GBR,HOC,Women
Bronze Medal,3,TOWNSEND Susannah,GBR,HOC,Women
Bronze Medal,3,UNSWORTH Laura,GBR,HOC,Women
Bronze Medal,3,WILKINSON Leah Julia,GBR,HOC,Women
Gold Medal,1,KIYUNA Ryo,JPN,KTE,Men's Kata
Silver Medal,2,QUINTERO Damian,ESP,KTE,Men's Kata
Bronze Medal,3,SOFUOGLU Ali,TUR,KTE,Men's Kata
Bronze Medal,3,TORRES GUTIERREZ Ariel,USA,KTE,Men's Kata
Gold Medal,1,BUSA Luigi,ITA,KTE,Men's Kumite -75kg
Silver Medal,2,AGHAYEV Rafael,AZE,KTE,Men's Kumite -75kg
Bronze Medal,3,HARSPATAKI Karoly Gabor,HUN,KTE,Men's Kumite -75kg
Bronze Medal,3,HORUNA Stanislav,UKR,KTE,Men's Kumite -75kg
Gold Medal,1,PREKOVIC Jovana,SRB,KTE,Women's Kumite -61kg
Silver Medal,2,YIN Xiaoyan,CHN,KTE,Women's Kumite -61kg
Bronze Medal,3,LOTFY Giana,EGY,KTE,Women's Kumite -61kg
Bronze Medal,3,COBAN Merve,TUR,KTE,Women's Kumite -61kg
Gold Medal,1,FRENCH Kate,GBR,MPN,Women's Individual
Silver Medal,2,ASADAUSKAITE Laura,LTU,MPN,Women's Individual
Bronze Medal,3,KOVACS Sarolta,HUN,MPN,Women's Individual
Gold Medal,1,GARNBRET Janja,SLO,CLB,Women's Combined
Silver Medal,2,NONAKA Miho,JPN,CLB,Women's Combined
Bronze Medal,3,NOGUCHI Akiyo,JPN,CLB,Women's Combined
Gold Medal,1,MA Long,CHN,TTE,Men's Team
Gold Medal,1,XU Xin,CHN,TTE,Men's Team
Gold Medal,1,FAN Zhendong,CHN,TTE,Men's Team
Silver Medal,2,OVTCHAROV Dimitrij,GER,TTE,Men's Team
Silver Medal,2,BOLL Timo,GER,TTE,Men's Team
Silver Medal,2,FRANZISKA Patrick,GER,TTE,Men's Team
Bronze Medal,3,NIWA Koki,JPN,TTE,Men's Team
Bronze Medal,3,HARIMOTO Tomokazu,JPN,TTE,Men's Team
Bronze Medal,3,MIZUTANI Jun,JPN,TTE,Men's Team
Gold Medal,1,STEVESON Gable Dan,USA,WRE,Men's Freestyle 125kg
Silver Medal,2,PETRIASHVILI Geno,GEO,WRE,Men's Freestyle 125kg
Bronze Medal,3,ZARE Amir Hossein,IRI,WRE,Men's Freestyle 125kg
Bronze Medal,3,AKGUL Taha,TUR,WRE,Men's Freestyle 125kg
Gold Medal,1,SIDAKOV Zaurbek,ROC,WRE,Men's Freestyle 74kg
Silver Medal,2,KADZIMAHAMEDAU Mahamedkhabib,BLR,WRE,Men's Freestyle 74kg
Bronze Medal,3,DAKE Kyle Douglas,USA,WRE,Men's Freestyle 74kg
Bronze Medal,3,ABDURAKHMONOV Bekzod,UZB,WRE,Men's Freestyle 74kg
Gold Medal,1,MUKAIDA Mayu,JPN,WRE,Women's Freestyle 53kg
Silver Medal,2,PANG Qianyu,CHN,WRE,Women's Freestyle 53kg
Bronze Medal,3,KALADZINSKAYA Vanesa,BLR,WRE,Women's Freestyle 53kg
Bronze Medal,3,BAT OCHIR Bolortuya,MGL,WRE,Women's Freestyle 53kg
Gold Medal,1,ROMASHINA Svetlana,ROC,SWA,Team
Gold Medal,1,KOLESNICHENKO Svetlana,ROC,SWA,Team
Gold Medal,1,PATSKEVICH Aleksandra,ROC,SWA,Team
Gold Medal,1,SHISHKINA Alla,ROC,SWA,Team
Gold Medal,1,CHIGIREVA Vlada,ROC,SWA,Team
Gold Medal,1,GOLIADKINA Marina,ROC,SWA,Team
Gold Medal,1,KOMAR Polina,ROC,SWA,Team
Gold Medal,1,SHUROCHKINA Maria,ROC,SWA,Team
Silver Medal,2,SUN Wenyan,CHN,SWA,Team
Silver Medal,2,FENG Yu,CHN,SWA,Team
Silver Medal,2,HUANG Xuechen,CHN,SWA,Team
Silver Medal,2,GUO Li,CHN,SWA,Team
Silver Medal,2,LIANG Xinping,CHN,SWA,Team
Silver Medal,2,YIN Chengxin,CHN,SWA,Team
Silver Medal,2,XIAO Yanning,CHN,SWA,Team
Silver Medal,2,WANG Qianyi,CHN,SWA,Team
Bronze Medal,3,FIEDINA Marta,UKR,SWA,Team
Bronze Medal,3,YAKHNO Yelyzaveta,UKR,SWA,Team
Bronze Medal,3,ALEKSIIVA Vladyslava,UKR,SWA,Team
Bronze Medal,3,ALEKSIIVA Maryna,UKR,SWA,Team
Bronze Medal,3,REZNIK Kateryna,UKR,SWA,Team
Bronze Medal,3,SHYNKARENKO Alina,UKR,SWA,Team
Bronze Medal,3,SYDORENKO Kseniya,UKR,SWA,Team
Bronze Medal,3,SAVCHUK Anastasiya,UKR,SWA,Team
Gold Medal,1,INGEBRIGTSEN Jakob,NOR,ATH,Men's 1500m
Silver Medal,2,CHERUIYOT Timothy,KEN,ATH,Men's 1500m
Bronze Medal,3,KERR Josh,GBR,ATH,Men's 1500m
Gold Medal,1,ROSS Randolph,USA,ATH,Men's 4 x 400m Relay
Gold Medal,1,BENJAMIN Rai,USA,ATH,Men's 4 x 400m Relay
Gold Medal,1,STEWART Trevor,USA,ATH,Men's 4 x 400m Relay
Gold Medal,1,NORWOOD Vernon,USA,ATH,Men's 4 x 400m Relay
Gold Medal,1,DEADMON Bryce,USA,ATH,Men's 4 x 400m Relay
Gold Medal,1,CHERRY Michael,USA,ATH,Men's 4 x 400m Relay
Gold Medal,1,NORMAN Michael,USA,ATH,Men's 4 x 400m Relay
Silver Medal,2,van DIEPEN Tony,NED,ATH,Men's 4 x 400m Relay
Silver Medal,2,AGARD Terrence,NED,ATH,Men's 4 x 400m Relay
Silver Medal,2,ANGELA Ramsey,NED,ATH,Men's 4 x 400m Relay
Silver Medal,2,BONEVACIA Liemarvin,NED,ATH,Men's 4 x 400m Relay
Silver Medal,2,DOBBER Jochem,NED,ATH,Men's 4 x 400m Relay
Bronze Medal,3,MAKWALA Isaac,BOT,ATH,Men's 4 x 400m Relay
Bronze Medal,3,NGOZI Zibane,BOT,ATH,Men's 4 x 400m Relay
Bronze Medal,3,THEBE Baboloki,BOT,ATH,Men's 4 x 400m Relay
Bronze Medal,3,NDORI Bayapo,BOT,ATH,Men's 4 x 400m Relay
Gold Medal,1,CHOPRA Neeraj,IND,ATH,Men's Javelin Throw
Silver Medal,2,VADLEJCH Jakub,CZE,ATH,Men's Javelin Throw
Bronze Medal,3,VESELY Vitezslav,CZE,ATH,Men's Javelin Throw
Gold Medal,1,HASSAN Sifan,NED,ATH,"Women's 10,000m"
Silver Medal,2,GEZAHEGNE Kalkidan,BRN,ATH,"Women's 10,000m"
Bronze Medal,3,GIDEY Letesenbet,ETH,ATH,"Women's 10,000m"
Gold Medal,1,WHITNEY Kaylin,USA,ATH,Women's 4 x 400m Relay
Gold Medal,1,ELLIS Kendall,USA,ATH,Women's 4 x 400m Relay
Gold Medal,1,MUHAMMAD Dalilah,USA,ATH,Women's 4 x 400m Relay
Gold Medal,1,McLAUGHLIN Sydney,USA,ATH,Women's 4 x 400m Relay
Gold Medal,1,IRBY Lynna,USA,ATH,Women's 4 x 400m Relay
Gold Medal,1,JONATHAS Wadeline,USA,ATH,Women's 4 x 400m Relay
Gold Medal,1,MU Athing,USA,ATH,Women's 4 x 400m Relay
Gold Medal,1,FELIX Allyson,USA,ATH,Women's 4 x 400m Relay
Silver Medal,2,HOLUB-KOWALIK Malgorzata,POL,ATH,Women's 4 x 400m Relay
Silver Medal,2,KIELBASINSKA Anna,POL,ATH,Women's 4 x 400m Relay
Silver Medal,2,SWIETY-ERSETIC Justyna,POL,ATH,Women's 4 x 400m Relay
Silver Medal,2,BAUMGART-WITAN Iga,POL,ATH,Women's 4 x 400m Relay
Silver Medal,2,KACZMAREK Natalia,POL,ATH,Women's 4 x 400m Relay
Bronze Medal,3,BROMFIELD Junelle,JAM,ATH,Women's 4 x 400m Relay
Bronze Medal,3,JACKSON Shericka,JAM,ATH,Women's 4 x 400m Relay
Bronze Medal,3,RUSSELL Janieve,JAM,ATH,Women's 4 x 400m Relay
Bronze Medal,3,WILLIAMS Stacey Ann,JAM,ATH,Women's 4 x 400m Relay
Bronze Medal,3,McGREGOR Roneisha,JAM,ATH,Women's 4 x 400m Relay
Bronze Medal,3,McLEOD Candice,JAM,ATH,Women's 4 x 400m Relay
Gold Medal,1,LASITSKENE Mariya,ROC,ATH,Women's High Jump
Silver Medal,2,McDERMOTT Nicola,AUS,ATH,Women's High Jump
Bronze Medal,3,MAHUCHIKH Yaroslava,UKR,ATH,Women's High Jump
Gold Medal,1,JEPCHIRCHIR Peres,KEN,ATH,Women's Marathon
Silver Medal,2,KOSGEI Brigid,KEN,ATH,Women's Marathon
Bronze Medal,3,SEIDEL Molly,USA,ATH,Women's Marathon
Gold Medal,1,SAKAMOTO Hayato,JPN,BSB,Baseball
Gold Medal,1,YAMASAKI Yasuaki,JPN,BSB,Baseball
Gold Medal,1,IWAZAKI Suguru,JPN,BSB,Baseball
Gold Medal,1,UMENO Ryutaro,JPN,BSB,Baseball
Gold Medal,1,MORISHITA Masato,JPN,BSB,Baseball
Gold Medal,1,KIKUCHI Ryosuke,JPN,BSB,Baseball
Gold Medal,1,SUZUKI Seiya,JPN,BSB,Baseball
Gold Medal,1,OHNO Yudai,JPN,BSB,Baseball
Gold Medal,1,YAMADA Tetsuto,JPN,BSB,Baseball
Gold Medal,1,MURAKAMI Munetaka,JPN,BSB,Baseball
Gold Medal,1,GENDA Sosuke,JPN,BSB,Baseball
Gold Medal,1,TAIRA Kaima,JPN,BSB,Baseball
Gold Medal,1,SENGA Koudai,JPN,BSB,Baseball
Gold Medal,1,KAI Takuya,JPN,BSB,Baseball
Gold Medal,1,YANAGITA Yuki,JPN,BSB,Baseball
Gold Medal,1,KONDOH Kensuke,JPN,BSB,Baseball
Gold Medal,1,ASAMURA Hideto,JPN,BSB,Baseball
Gold Medal,1,YAMAMOTO Yoshinobu,JPN,BSB,Baseball
Gold Medal,1,YOSHIDA Masataka,JPN,BSB,Baseball
Gold Medal,1,AOYAGI Koyo,JPN,BSB,Baseball
Gold Medal,1,KURIBAYASHI Ryoji,JPN,BSB,Baseball
Gold Medal,1,KURIHARA Ryoya,JPN,BSB,Baseball
Gold Medal,1,ITOH Hiromi,JPN,BSB,Baseball
Gold Medal,1,TANAKA Masahiro,JPN,BSB,Baseball
Silver Medal,2,CARTER Anthony,USA,BSB,Baseball
Silver Medal,2,DICKSON Brandon,USA,BSB,Baseball
Silver Medal,2,ROBERTSON David,USA,BSB,Baseball
Silver Medal,2,ALVAREZ Eddy,USA,BSB,Baseball
Silver Medal,2,JACKSON JR Edwin,USA,BSB,Baseball
Silver Medal,2,MARTINEZ Nick,USA,BSB,Baseball
Silver Medal,2,FRAZIER Todd,USA,BSB,Baseball
Silver Medal,2,CASAS Triston,USA,BSB,Baseball
Silver Medal,2,FILIA Eric,USA,BSB,Baseball
Silver Medal,2,FEDEROWICZ Tim,USA,BSB,Baseball
Silver Medal,2,ALLEN Nick,USA,BSB,Baseball
Silver Medal,2,WESTBROOK Jamie,USA,BSB,Baseball
Silver Medal,2,KOLOZSVARY Mark,USA,BSB,Baseball
Silver Medal,2,AUSTIN Tyler,USA,BSB,Baseball
Silver Medal,2,WOODS RICHARDSON Simeon,USA,BSB,Baseball
Silver Medal,2,RYAN Joe,USA,BSB,Baseball
Silver Medal,2,BAZ Shane,USA,BSB,Baseball
Silver Medal,2,STARLING Bubba,USA,BSB,Baseball
Silver Medal,2,LOPEZ Jack,USA,BSB,Baseball
Silver Medal,2,GOSE Anthony,USA,BSB,Baseball
Silver Medal,2,KAZMIR Scott,USA,BSB,Baseball
Silver Medal,2,McGOUGH Scott,USA,BSB,Baseball
Silver Medal,2,KIVLEHAN Patrick,USA,BSB,Baseball
Silver Medal,2,RYAN Ryder,USA,BSB,Baseball
Bronze Medal,3,GARCIA Junior,DOM,BSB,Baseball
Bronze Medal,3,CASTILLO Luis,DOM,BSB,Baseball
Bronze Medal,3,MIESES Johan,DOM,BSB,Baseball
Bronze Medal,3,RODRIGUEZ Julio,DOM,BSB,Baseball
Bronze Medal,3,ROSSO Ramon,DOM,BSB,Baseball
Bronze Medal,3,VALDES Raul,DOM,BSB,Baseball
Bronze Medal,3,BALDWIN Roldani,DOM,BSB,Baseball
Bronze Medal,3,SANCHEZ Angel,DOM,BSB,Baseball
Bronze Medal,3,MERCEDES Cristopher,DOM,BSB,Baseball
Bronze Medal,3,ALVAREZ Dario,DOM,BSB,Baseball
Bronze Medal,3,ARIAS Gabriel,DOM,BSB,Baseball
Bronze Medal,3,ASENCIO Jairo,DOM,BSB,Baseball
Bronze Medal,3,CABRERA Melky,DOM,BSB,Baseball
Bronze Medal,3,PEREZ Yefri,DOM,BSB,Baseball
Bronze Medal,3,MARINEZ Jhan,DOM,BSB,Baseball
Bronze Medal,3,NUNEZ Gustavo,DOM,BSB,Baseball
Bronze Medal,3,VALERIO Charlie,DOM,BSB,Baseball
Bronze Medal,3,GUZMAN Jeison,DOM,BSB,Baseball
Bronze Medal,3,MEJIA Erick,DOM,BSB,Baseball
Bronze Medal,3,REYES Denyi,DOM,BSB,Baseball
Bronze Medal,3,BAUTISTA Jose,DOM,BSB,Baseball
Bronze Medal,3,BONIFACIO Emilio,DOM,BSB,Baseball
Bronze Medal,3,DIAZ Jose,DOM,BSB,Baseball
Bronze Medal,3,FRANCISCO Juan,DOM,BSB,Baseball
Gold Medal,1,MCGEE Javale,USA,BKB,Men
Gold Medal,1,MIDDLETON Khris,USA,BKB,Men
Gold Medal,1,TATUM Jayson,USA,BKB,Men
Gold Medal,1,DURANT Kevin,USA,BKB,Men
Gold Medal,1,BOOKER Devin,USA,BKB,Men
Gold Medal,1,GREEN Draymond,USA,BKB,Men
Gold Medal,1,LILLARD Damian,USA,BKB,Men
Gold Medal,1,GRANT Jerami,USA,BKB,Men
Gold Medal,1,LAVINE Zach,USA,BKB,Men
Gold Medal,1,HOLIDAY Jrue,USA,BKB,Men
Gold Medal,1,JOHNSON Keldon,USA,BKB,Men
Gold Medal,1,ADEBAYO Bam,USA,BKB,Men
Silver Medal,2,CORNELIE Petr,FRA,BKB,Men
Silver Medal,2,ALBICY Andrew,FRA,BKB,Men
Silver Medal,2,HEURTEL Thomas,FRA,BKB,Men
Silver Medal,2,NTILIKINA Frank,FRA,BKB,Men
Silver Medal,2,de COLO Nando,FRA,BKB,Men
Silver Medal,2,FOURNIER Evan,FRA,BKB,Men
Silver Medal,2,BATUM Nicolas,FRA,BKB,Men
Silver Medal,2,LUWAWU CABARROT Timothe,FRA,BKB,Men
Silver Medal,2,YABUSELE Guerschon,FRA,BKB,Men
Silver Medal,2,FALL Moustapha,FRA,BKB,Men
Silver Medal,2,GOBERT Rudy,FRA,BKB,Men
Silver Medal,2,POIRIER Vincent,FRA,BKB,Men
Bronze Medal,3,GREEN Josh,AUS,BKB,Men
Bronze Medal,3,BAYNES Aron,AUS,BKB,Men
Bronze Medal,3,DELLAVEDOVA Matthew,AUS,BKB,Men
Bronze Medal,3,EXUM Dante,AUS,BKB,Men
Bronze Medal,3,GOULDING Chris,AUS,BKB,Men
Bronze Medal,3,INGLES Joe,AUS,BKB,Men
Bronze Medal,3,KAY Nic,AUS,BKB,Men
Bronze Medal,3,LANDALE Jock,AUS,BKB,Men
Bronze Medal,3,MILLS Patty,AUS,BKB,Men
Bronze Medal,3,THYBULLE Matisse,AUS,BKB,Men
Bronze Medal,3,REATH Duop Thomas,AUS,BKB,Men
Bronze Medal,3,SOBEY Nathan,AUS,BKB,Men
Gold Medal,1,MOL Anders Berntsen,NOR,VBV,Men
Gold Medal,1,SORUM Christian Sandlie,NOR,VBV,Men
Silver Medal,2,KRASILNIKOV Viacheslav,ROC,VBV,Men
Silver Medal,2,STOYANOVSKIY Oleg,ROC,VBV,Men
Bronze Medal,3,YOUNOUSSE Cherif,QAT,VBV,Men
Bronze Medal,3,TIJAN Ahmed,QAT,VBV,Men
Gold Medal,1,YAFAI Galal,GBR,BOX,Men's Fly (48-52kg)
Silver Medal,2,PAALAM Carlo,PHI,BOX,Men's Fly (48-52kg)
Gold Medal,1,SOUSA Hebert,BRA,BOX,Men's Middle (69-75kg)
Silver Medal,2,KHYZHNIAK Oleksandr,UKR,BOX,Men's Middle (69-75kg)
Gold Medal,1,KRASTEVA Stoyka Zhelyazkova,BUL,BOX,Women's Fly (48-51kg)
Silver Medal,2,CAKIROGLU Buse Naz,TUR,BOX,Women's Fly (48-51kg)
Gold Medal,1,SURMENELI Busenaz,TUR,BOX,Women's Welter (64-69kg)
Silver Medal,2,GU Hong,CHN,BOX,Women's Welter (64-69kg)
Gold Medal,1,QUEIROZ dos SANTOS Isaquias,BRA,CSP,Men's Canoe Single 1000m
Silver Medal,2,LIU Hao,CHN,CSP,Men's Canoe Single 1000m
Bronze Medal,3,TARNOVSCHI Serghei,MDA,CSP,Men's Canoe Single 1000m
Gold Medal,1,LEMKE Max,GER,CSP,Men's Kayak Four 500m
Gold Medal,1,LIEBSCHER Tom,GER,CSP,Men's Kayak Four 500m
Gold Medal,1,RAUHE Ronald,GER,CSP,Men's Kayak Four 500m
Gold Medal,1,RENDSCHMIDT Max,GER,CSP,Men's Kayak Four 500m
Silver Medal,2,AREVALO Carlos,ESP,CSP,Men's Kayak Four 500m
Silver Medal,2,CRAVIOTTO Saul,ESP,CSP,Men's Kayak Four 500m
Silver Medal,2,GERMADE Rodrigo,ESP,CSP,Men's Kayak Four 500m
Silver Medal,2,WALZ Marcus,ESP,CSP,Men's Kayak Four 500m
Bronze Medal,3,BALAZ Samuel,SVK,CSP,Men's Kayak Four 500m
Bronze Medal,3,BOTEK Adam,SVK,CSP,Men's Kayak Four 500m
Bronze Medal,3,MYSAK Denis,SVK,CSP,Men's Kayak Four 500m
Bronze Medal,3,VLCEK Erik,SVK,CSP,Men's Kayak Four 500m
Gold Medal,1,SUN Mengya,CHN,CSP,Women's Canoe Double 500m
Gold Medal,1,XU Shixiao,CHN,CSP,Women's Canoe Double 500m
Silver Medal,2,LUZAN Liudmyla,UKR,CSP,Women's Canoe Double 500m
Silver Medal,2,CHETVERIKOVA Anastasiia,UKR,CSP,Women's Canoe Double 500m
Bronze Medal,3,VINCENT-LAPOINTE Laurence,CAN,CSP,Women's Canoe Double 500m
Bronze Medal,3,VINCENT Katie,CAN,CSP,Women's Canoe Double 500m
Gold Medal,1,BODONYI Dora,HUN,CSP,Women's Kayak Four 500m
Gold Medal,1,KOZAK Danuta,HUN,CSP,Women's Kayak Four 500m
Gold Medal,1,CSIPES Tamara,HUN,CSP,Women's Kayak Four 500m
Gold Medal,1,KARASZ Anna,HUN,CSP,Women's Kayak Four 500m
Silver Medal,2,LITVINCHUK Maryna,BLR,CSP,Women's Kayak Four 500m
Silver Medal,2,MAKHNEVA Marharyta,BLR,CSP,Women's Kayak Four 500m
Silver Medal,2,PAPOK Nadzeya,BLR,CSP,Women's Kayak Four 500m
Silver Medal,2,KHUDZENKA Volha,BLR,CSP,Women's Kayak Four 500m
Bronze Medal,3,NAJA Karolina,POL,CSP,Women's Kayak Four 500m
Bronze Medal,3,PULAWSKA Anna,POL,CSP,Women's Kayak Four 500m
Bronze Medal,3,ISKRZYCKA Justyna,POL,CSP,Women's Kayak Four 500m
Bronze Medal,3,WISNIEWSKA Helena,POL,CSP,Women's Kayak Four 500m
Gold Medal,1,HANSEN Lasse Norman,DEN,CTR,Men's Madison
Gold Medal,1,MORKOV Michael,DEN,CTR,Men's Madison
Silver Medal,2,WALLS Matthew,GBR,CTR,Men's Madison
Silver Medal,2,HAYTER Ethan,GBR,CTR,Men's Madison
Bronze Medal,3,GRONDIN Donavan,FRA,CTR,Men's Madison
Bronze Medal,3,THOMAS Benjamin,FRA,CTR,Men's Madison
Gold Medal,1,CAO Yuan,CHN,DIV,Men's 10m Platform
Silver Medal,2,YANG Jian,CHN,DIV,Men's 10m Platform
Bronze Medal,3,DALEY Thomas,GBR,DIV,Men's 10m Platform
Gold Medal,1,von ECKERMANN Henrik,SWE,EQU,Jumping Team
Gold Medal,1,BARYARD-JOHNSSON Malin,SWE,EQU,Jumping Team
Gold Medal,1,FREDRICSON Peder,SWE,EQU,Jumping Team
