name,gender,birth_date,country_code,discipline,function
GRESKOWIAK Arne,Male,7/28/1984,GER,Basketball,Coach
GRYZUNOVA Elena,Female,1/28/1960,ROC,Artistic Swimming,Coach
GUERRERO LOPEZ Julen,Male,1/7/1974,ESP,Football,Head Coach
GUERRERO Rolando,Male,10/14/1962,MEX,Baseball/Softball,Coach
GUERRERO Rolando,Male,6/27/1996,MEX,Baseball/Softball,Coach
GUIDETTI Giovanni,Male,9/27/1972,TUR,Volleyball,Head Coach
GUILLEN Ronald,Male,5/29/1983,VEN,Basketball,Coach
GUIMARAES Jose Roberto,Male,7/31/1954,BRA,Volleyball,Head Coach
GUSTAVSSON Tony,Male,8/14/1973,AUS,Football,Head Coach
HAGER Mark,Male,4/28/1964,GBR,Hockey,Head Coach
HAIDARA Soualiho,Male,12/30/1974,CIV,Football,Head Coach
HALD Simon,Male,9/28/1994,DEN,Handball,Coach
HALKETT Rhett,Male,5/2/1986,NED,Hockey,Coach
HAM Darvin de,Male,7/23/1973,NGR,Basketball,Coach
HAMMETT Bianca,Female,9/12/1990,AUS,Artistic Swimming,Coach
HAMMETT Bianca,Female,9/12/1990,AUS,Artistic Swimming,Coach
HARDY William,Male,1/21/1988,USA,Basketball,Coach
HARROW Laing,Male,4/3/1970,AUS,Baseball/Softball,Head Coach
HARVEY Laura,Female,5/15/1980,USA,Football,Head Coach
HAVENGA Arno,Male,11/14/1974,NED,Water Polo,Head Coach
HAY Danny,Male,5/15/1975,NZL,Football,Head Coach
HENKEL Claas,Male,7/21/1979,GER,Hockey,Coach
HENNING Andre,Male,12/3/1983,CAN,Hockey,Coach
HERGEIRSSON Thorir,Male,4/27/1964,NOR,Handball,Coach
HERNANDEZ Anderson,Male,10/30/1982,DOM,Baseball/Softball,Coach
HERNANDEZ FRAILE Jose Ignacio,Male,8/12/1969,ESP,Basketball,Coach
HERNANDEZ Sergio,Male,11/1/1963,ARG,Basketball,Coach
HEYNEN Vital,Male,6/12/1969,POL,Volleyball,Head Coach
HIROSE Norikazu,Male,12/30/1974,JPN,Football,Head Coach
HOAG Glenn,Male,12/6/1958,CAN,Volleyball,Head Coach
HOLANEK Zoltan,Male,8/8/1975,HUN,Handball,Coach
HOVASSE Thomas Wayne,Male,1/31/1967,JPN,Basketball,Coach
HUGHES Daniel,Male,7/16/1993,USA,Basketball,Coach
HUGHLEY JR Otis,Male,9/25/1964,NGR,Basketball,Coach
IBATA Hirokazu,Male,5/12/1975,JPN,Baseball/Softball,Coach
IMURA Masayo,Female,8/16/1950,JPN,Artistic Swimming,Coach
IMURA Masayo,Female,8/16/1950,JPN,Artistic Swimming,Coach
IWABUCHI Kensuke,Male,12/30/1975,JPN,Rugby Sevens,Head Coach
JACOBS Alex,Male,6/1/1987,ISR,Baseball/Softball,Coach
JACOBSEN Nikolaj,Male,11/22/1971,DEN,Handball,Coach
JARDINE Andre,Male,9/8/1979,BRA,Football,Head Coach
JAUMA CAYUELA Esther,Female,5/7/1970,NED,Artistic Swimming,Coach
JENNINGS Dee,Female,3/4/1971,AUS,Hockey,Coach
JEROME Essapa,Male,9/22/1965,CIV,Football,Head Coach
JIA Xiuquan,Male,3/23/1963,CHN,Football,Head Coach
JIMENEZ NIETO Cecilia,Female,7/27/1995,ESP,Artistic Swimming,Coach
JIN Kabyong,Male,5/8/1974,KOR,Baseball/Softball,Coach
JOHNSON Vickie,Female,4/15/1972,USA,Basketball,Coach
JONES Chris,Male,4/19/1967,CAN,Baseball/Softball,Coach
JONES Nathan,Male,1/20/1977,AUS,Baseball/Softball,Coach
KAISER Pierre,Male,6/16/1988,BEL,Basketball,Coach
KANEKO Makoto,Male,11/8/1975,JPN,Baseball/Softball,Coach
KANG Jae Won,Male,11/30/1965,KOR,Handball,Coach
KANUNGO Bergin,Male,9/9/1962,ZAM,Football,Head Coach
KAWASE Asaki,Female,9/9/1982,JPN,Football,Head Coach
KAZAMA Takafumi,Male,12/5/1985,JPN,Football,Head Coach
KELLER Florian,Male,10/3/1981,GER,Hockey,Coach
KERRY Danny,Male,12/2/1970,GBR,Hockey,Head Coach
KIM Chanbin,Male,5/10/1985,KOR,Football,Head Coach
KIM Hagbum,Male,3/1/1960,KOR,Football,Head Coach
KIM Jae Hyun,Male,10/2/1975,KOR,Baseball/Softball,Coach
KIM Jongkook,Male,9/14/1973,KOR,Baseball/Softball,Coach
KIRALY Karch,Male,11/3/1960,USA,Volleyball,Head Coach
KIRKELY Ulrik,Male,1/5/1972,JPN,Handball,Coach
KIRKPATRICK Andrew,Male,5/6/1984,AUS,Baseball/Softball,Coach
KITABAYASHI Kenji,Male,12/29/1967,JPN,Handball,Coach
KLARENBEEK Auke,Male,7/20/1976,NED,Handball,Coach
